226.62,396.62
250.284,396.578
274.108,396.627
297.922,396.559
321.658,396.579
218.549,370.238
308.757,369.431
295.81,349.45
210.451,343.762
282.81,329.45
202.32,317.37
269.84,309.5
194.186,290.814
256.976,289.549
185.976,264.451
244.569,262.411
268.47,262.37
292.284,262.422
316.167,262.399
339.81,262.45
329.373,243.108
177.729,237.948
316.5,223
169.814,211.186
193.538,211.183
217.442,211.183
241.243,211.193
265.15,211.228
303.549,203.024
259.421,191.658
290.598,183
253.192,172.808
277.712,163
246.755,149.902
264.265,144.314
240.598,127
234.451,104.024
